,AC_Voltage,Distorted AC_Voltage,AC_Current,DC_Voltage,DC_Current,Time
0,200.0,0.0,0.0,0.0,9.76646529832685,2020-10-22 15:51:59.429097
1,199.85789452811784,1.8839735353773635,1.1307054800980363,2.0,9.224188104604092,2020-10-22 15:51:59.429297
2,199.43178005212278,3.7620600570455522,2.2598041658379815,4.0,9.978921644315191,2020-10-22 15:51:59.429497
3,198.7222621040017,5.628399155698261,3.38569154620445,6.0,9.261116811615782,2020-10-22 15:51:59.429697
4,197.73034894758283,7.477183489393061,4.506767673622712,8.0,9.714447359120198,2020-10-22 15:51:59.429897
5,196.45745014573774,9.302684964418518,5.621439437571738,10.0,9.59591133978842,2020-10-22 15:51:59.430097
6,194.90537455731544,11.099280494990762,6.7281228284814345,12.0,9.978436949805722,2020-10-22 15:51:59.430297
7,193.07632776665477,12.861477205054515,7.825245188696907,13.999999999999998,9.750976349111559,2020-10-22 15:51:59.430497
8,190.9729089493286,14.583936938578614,8.911247447311048,16.0,9.611269413872437,2020-10-22 15:51:59.430697
9,188.59810717857292,16.261499948596605,9.984586335689599,18.0,9.3637094344324,2020-10-22 15:51:59.430897
10,185.9552971776503,17.889207639827223,11.043736580540337,20.0,9.210864186276856,2020-10-22 15:51:59.431097
11,183.04823452418353,19.46232424499162,12.08719307140988,22.0,9.815867612825572,2020-10-22 15:51:59.431297
12,179.88105031327424,20.976357320894174,13.113472999527986,24.0,9.480547412850456,2020-10-22 15:51:59.431497
13,176.4582452869907,22.4270769569181,14.121117964959973,25.999999999999996,9.830020489087804,2020-10-22 15:51:59.431697
14,172.78468343856707,23.810533595768078,15.108696049072824,27.999999999999996,9.435309731406386,2020-10-22 15:51:59.431897
15,168.86558510040302,25.123074374030097,16.0748038493699,29.999999999999996,9.699897455198132,2020-10-22 15:51:59.432097
16,164.7065195256855,26.361357898368816,17.018068473802696,32.0,9.673426318701557,2020-10-22 15:51:59.432297
17,160.3133969741753,27.522367381899322,17.937149491725563,34.0,9.82264817790373,2020-10-22 15:51:59.432497
18,155.6924603134047,28.60342207440295,18.830740838721013,36.0,9.122116483742522,2020-10-22 15:51:59.432697
19,150.8502761472208,29.602186929555202,19.69757267258869,38.0,9.30361202243241,2020-10-22 15:51:59.432897
20,145.79372548428228,30.516680462143377,20.53641317786066,40.0,9.512818158422187,2020-10-22 15:51:59.433097
21,140.52999395976983,31.34528075831672,21.34607031627856,42.0,9.257920977423991,2020-10-22 15:51:59.433297
22,135.06656162420492,32.08672961217694,22.125393520745217,44.0,9.76406719521088,2020-10-22 15:51:59.433497
23,129.4111923138889,32.74013477242211,22.873275330343432,46.0,9.624778702398661,2020-10-22 15:51:59.433697
24,123.57192261806694,33.304970293245304,23.588652964098564,48.0,9.731853799427283,2020-10-22 15:51:59.433897
25,117.55705045849464,33.78107499419996,24.270509831248425,50.0,9.397698661169443,2020-10-22 15:51:59.434097
26,111.37512329763763,34.16864904421896,24.91787697587438,51.99999999999999,9.473284932031621,2020-10-22 15:51:59.434297
27,105.0349259922592,34.468248695353395,25.529834453840756,54.0,9.146266546642513,2020-10-22 15:51:59.434497
28,98.54546830965832,34.68077920202229,26.105512640085767,55.99999999999999,9.938591651370482,2020-10-22 15:51:59.434697
29,91.9159721242976,34.807485971578174,26.644093464406335,58.0,9.20666817445437,2020-10-22 15:51:59.434897
30,85.15585831301458,34.84994400173848,27.144811573980586,59.99999999999999,9.940637522487169,2020-10-22 15:51:59.435097
31,78.27473336744048,34.81004566985518,27.606955420976107,62.0,9.096884369635415,2020-10-22 15:51:59.435297
32,71.28237574265016,34.68998694804088,28.029868273698362,64.0,9.571293270842546,2020-10-22 15:51:59.435497
33,64.18872196144194,34.49225212678838,28.412949149842326,66.0,9.021279189618527,2020-10-22 15:51:59.435697
34,57.00385249399529,34.21959713786397,28.755653670521276,68.0,9.345179655148815,2020-10-22 15:51:59.435897
35,49.73797743297105,33.87503157487609,29.057494833858932,70.0,9.189298363419391,2020-10-22 15:51:59.436097
36,42.40142198441096,33.461799516978644,29.318043707045803,72.0,9.512401674015171,2020-10-22 15:51:59.436297
37,35.004611795055176,32.98335926762133,29.53693003587616,74.0,9.4258867900075,2020-10-22 15:51:59.436497
38,27.558058136927695,32.44336212607279,29.713842770899536,76.0,9.823556897109416,2020-10-22 15:51:59.436697
39,20.072342970242996,31.84563031458308,29.848530509439005,78.0,9.656475686153483,2020-10-22 15:51:59.436897
40,12.558103905862716,31.19413418849119,29.940801852848146,80.0,9.092202832520185,2020-10-22 15:51:59.437097
41,5.026019088667563,30.492968860296696,29.990525678498997,82.0,9.415045419461494,2020-10-22 15:51:59.437297
42,-2.513207976670518,29.74633037168111,29.997631326114483,84.0,9.52800390831315,2020-10-22 15:51:59.437497
43,-10.048863635953884,28.958491549668377,29.962108698180526,86.0,9.957760180519813,2020-10-22 15:51:59.437697
44,-17.57023931014858,28.133777684542416,29.884008274295176,88.0,9.846134015345593,2020-10-22 15:51:59.437897
45,-25.06664671286077,27.276542167785795,29.763441039434337,90.0,9.005461918844729,2020-10-22 15:51:59.438097
46,-32.52743303897662,26.391142228163954,29.600578326236043,92.0,9.873505047347853,2020-10-22 15:51:59.438297
47,-39.94199610288137,25.481914903155385,29.395651571527406,94.0,9.727181394957107,2020-10-22 15:51:59.438497
48,-47.299799404744874,24.553153381225346,29.14895198744022,96.0,9.354901016175146,2020-10-22 15:51:59.438697
49,-54.590387103464955,23.609083847969625,28.86083014758258,98.0,9.052615868087063,2020-10-22 15:51:59.438897
50,-61.803398874989455,22.65384296592988,28.53169548885461,100.0,9.799571783262966,2020-10-22 15:51:59.439097
51,-68.92858463490344,21.691456113921777,28.162015729616222,102.00000000000001,9.801643008772915,2020-10-22 15:51:59.439297
52,-75.95581910436015,20.725816507045256,27.752316205033743,103.99999999999999,9.866117817809746,2020-10-22 15:51:59.439497
53,-82.87511619865681,19.760665313188838,27.303179120549874,106.0,9.722015687155231,2020-10-22 15:51:59.439697
54,-89.67664321800642,18.799572875829153,26.815242724537917,108.0,9.703150409742367,2020-10-22 15:51:59.439897
55,-96.35073482034299,17.845921146295762,26.28920040131591,110.0,9.676028570827127,2020-10-22 15:51:59.440097
56,-102.88790675630122,16.902887421460044,25.725799685809573,111.99999999999999,9.378267026516577,2020-10-22 15:51:59.440297
57,-109.2788693468538,15.97342947505508,25.125841201264254,114.0,9.595197603804166,2020-10-22 15:51:59.440497
58,-115.51454068445348,15.060272162586877,24.49017752151552,116.0,9.962029591072024,2020-10-22 15:51:59.440697
59,-121.586059538921,14.165895571102327,23.819711959435065,118.0,9.598981308951641,2020-10-22 15:51:59.440897
60,-127.48479794973792,13.29252477598679,23.115397283273676,119.99999999999999,9.471094649872397,2020-10-22 15:51:59.441097
61,-133.2023734868503,12.44212125752538,22.378234362725465,122.0,9.239114134231954,2020-10-22 15:51:59.441297
62,-138.73066116256095,11.61637602023132,21.60927074663721,124.0,9.215432596703934,2020-10-22 15:51:59.441497
63,-144.06180497758132,10.816704447978264,20.809599174384157,126.0,9.487344739942314,2020-10-22 15:51:59.441697
64,-149.18822908483642,10.044242917827466,19.98035602302755,128.0,9.939585426494029,2020-10-22 15:51:59.441897
65,-154.10264855515788,9.299847185173808,19.122719692460695,130.0,9.19956520251876,2020-10-22 15:51:59.442097
66,-158.798079729567,8.584092542505426,18.237908930838167,132.0,9.15361023804425,2020-10-22 15:51:59.442297
67,-163.2678501434368,7.8972757437393835,17.32718110266803,134.0,9.402676570397883,2020-10-22 15:51:59.442497
68,-167.50560800842825,7.239418675818907,16.391830402028088,136.0,9.739076494384662,2020-10-22 15:51:59.442697
69,-171.5053312387304,6.610273749095665,15.4331860134452,138.0,9.59922356362531,2020-10-22 15:51:59.442897
70,-175.26133600877262,6.009330968031314,14.452610223051469,140.0,9.225613112069988,2020-10-22 15:51:59.443097
